audience_freshness,rt_audience_score,rt_freshness,rt_score,imdb_rating,length,rank_in_year,rating,release_date,title,year,revenue,rated_r
90,3.6,93,8.3,8,127,1,PG-13,11-Jun-93,Jurassic Park,1993,1494643267,FALSE
76,3.4,71,5.8,6.9,125,2,PG-13,24-Nov-93,Mrs. Doubtfire,1993,721079965.9,FALSE
89,3.7,78,6.6,7.7,125,9,PG-13,14-Jan-94,Philadelphia,1993,337721152.8,FALSE
97,4.3,96,9,8.9,195,4,R,4-Feb-94,Schindler's List,1993,525027843.8,TRUE
75,3.3,72,6.5,6.8,105,8,PG,25-Jun-93,Sleepless in Seattle,1993,372234469.3,FALSE
64,3.2,75,6.2,6.8,154,5,R,30-Jun-93,The Firm,1993,441597053.1,TRUE
89,3.6,96,7.9,7.8,130,3,PG-13,6-Aug-93,The Fugitive,1993,602758308.5,FALSE
61,3.2,52,5.5,6.5,141,10,PG-13,17-Dec-93,The Pelican Brief,1993,319076111.5,FALSE
89,3.6,81,7,7.6,138,7,R,11-Dec-92,A Few Good Men,1992,409362990.7,TRUE
92,3.7,94,8.1,8,90,1,G,25-Nov-92,Aladdin,1992,848295321.9,FALSE
64,3.1,54,5.9,6.9,127,4,R,20-Mar-92,Basic Instinct,1992,593961676.4,TRUE
73,3.3,80,6.7,7,126,6,PG-13,19-Jun-92,Batman Returns,1992,449050801.2,FALSE
80,3.6,79,6.5,7.5,128,9,R,13-Nov-92,Bram Stoker's Dracula,1992,363287833,TRUE
61,3,24,3.6,6.5,120,3,PG,20-Nov-92,Home Alone 2: Lost in New York,1992,604173235.8,FALSE
62,3.2,56,5.5,6.7,118,5,R,15-May-92,Lethal Weapon 3,1992,541460630.3,TRUE
65,3.1,71,5.7,6.2,100,8,PG,29-May-92,Sister Act,1992,389781727.8,FALSE
64,3,32,4.8,6.1,129,2,R,25-Nov-92,The Bodyguard,1992,691707059.5,TRUE
85,3.4,85,6.8,7,94,10,PG-13,14-Feb-92,Wayne's World,1992,308145094.9,FALSE
92,3.7,93,8.4,8,84,3,G,22-Nov-91,Beauty and the Beast,1991,609997249.7,FALSE
77,3.5,76,7.1,7.3,128,8,R,15-Nov-91,Cape Fear,1991,316024944.4,TRUE
64,3.1,90,7,6.7,113,10,PG-13,7-Jun-91,City Slickers,1991,310376502.9,FALSE
76,3.3,30,4.4,6.7,142,4,PG,11-Dec-91,Hook,1991,521567841.1,FALSE
65,3,83,6.5,6.7,84,9,PG-13,31-Jul-91,Hot Shots!,1991,313951873.3,FALSE
88,3.8,85,7.7,8,189,6,R,20-Dec-91,JFK,1991,356095013.1,TRUE
72,3.4,50,5.7,6.9,143,2,PG-13,14-Jun-91,Robin Hood: Prince of Thieves,1991,676967922.6,FALSE
94,3.7,92,8.3,8.5,137,1,R,3-Jul-91,Terminator 2: Judgment Day,1991,901210651.8,TRUE
66,3.2,60,5.6,6.8,99,7,PG-13,22-Nov-91,The Addams Family,1991,331992373.9,FALSE
95,4.1,94,8.5,8.6,118,5,R,14-Feb-91,The Silence of the Lambs,1991,472832496.3,TRUE
78,3.4,73,6.5,7.4,118,6,PG,25-May-90,Back to the Future Part III,1990,441756758.8,FALSE
87,3.6,82,7.5,8,181,4,PG-13,21-Nov-90,Dances with Wolves,1990,766363955.5,FALSE
70,3.5,69,6.1,7.1,124,7,R,4-Jul-90,Die Hard 2,1990,433633526.3,TRUE
80,3.5,74,6.8,7,127,1,PG-13,13-Jul-90,Ghost,1990,913588289,FALSE
79,3.3,54,5.1,7.4,103,2,PG,16-Nov-90,Home Alone,1990,861165331.1,FALSE
51,3,51,5.1,6,111,10,PG-13,21-Dec-90,Kindergarten Cop,1990,364851165.5,FALSE
66,3.4,85,7.4,6.9,127,8,R,27-Jul-90,Presumed Innocent,1990,399800210,TRUE
68,3.5,62,5.7,6.9,119,3,R,23-Mar-90,Pretty Woman,1990,837176928.8,TRUE
81,3.3,41,4.8,6.7,93,9,PG,30-Mar-90,Teenage Mutant Ninja Turtles,1990,364866028.2,FALSE
78,3.3,84,7.3,7.5,113,5,R,1-Jun-90,Total Recall,1990,472122383,TRUE
85,3.5,64,6.1,7.8,108,3,PG,22-Nov-89,Back to the Future Part II,1989,632094375.2,FALSE
84,3.5,72,6.6,7.6,126,2,PG-13,23-Jun-89,Batman,1989,783284649.9,FALSE
76,3.4,90,7.4,7.2,145,10,R,5-Jan-90,Born on the Fourth of July,1989,306577096.2,TRUE
